"label","F4_130C_6.1.4_HFHS.Chow.DMBA","F4_131N_6.2.5_HFHS.Chow.DMBA","F5_131N_6.2.2_HFHS.Chow.DMBA","F6_130C_6.1.2_HFHS.Chow.DMBA","F6_131N_6.2.4_HFHS.Chow.DMBA","F4_129N_4.2.5_Lean.DMBA","F5_129N_4.1.3_Lean.DMBA","F5_129C_4.2.1_Lean.DMBA","F6_129N_4.1.5_Lean.DMBA","F6_129C_4.2.3_Lean.DMBA"
"P48036","2.927107","2.849917","2.791023","3.253783","3.112885","3.150958","2.987444","3.112885","3.382194","3.263496"
"Q5SQB7","3.125750","3.112885","3.103754","2.919116","2.891046","2.849917","2.842922","2.870601","2.877427","2.877427"
"P14733","3.022504","2.987444","3.065572","3.005960","3.000877","2.909582","3.005960","3.044145","3.071116","3.005960"
"Q3U7Z6","3.086645","3.022504","3.086645","2.846845","2.933274","2.919116","2.959083","2.837618","2.933274","2.834606"
"Q3TE63","3.305929","3.150958","3.112885","3.471554","3.406343","3.459108","3.444666","3.331334","3.459108","3.471554"
"Q9QWL7","2.703968","2.947350","2.668542","2.143921","2.587403","3.191976","2.490258","2.577692","2.540373","2.406271"
"A8IP69","2.632115","2.644344","2.812205","2.718924","2.781132","2.437855","2.743786","2.718924","2.809260","2.703968"
"G3UZI2","2.609317","2.599876","2.549690","2.368746","2.350891","2.532859","2.514973","2.484622","2.289628","2.326336"
"A0A0A0MQF6","2.953500","2.886219","2.981724","3.011436","3.125750","3.049864","2.967958","3.150958","3.005960","3.118128"
"Q8C290","2.919116","2.757966","2.834606","3.086645","3.093808","2.959083","2.781132","2.953500","3.036671","3.141263"
"P24815","2.877427","2.499650","2.577692","2.644344","3.044145","2.996127","2.319333","2.781132","2.927107","3.000877"
"A1BN54","2.261754","2.352665","2.468857","2.652955","2.618304","2.403746","2.563507","2.593045","2.730060","2.743786"
"Q61838","2.849917","2.747131","2.886219","2.849917","2.710518","2.737122","2.863497","2.649759","2.649759","2.618304"
"Q58E70","2.933274","2.831591","2.962667","2.787634","2.764238","2.710518","2.877427","2.775868","2.718924","2.693335"
"Q9Z2K1","2.882924","3.249334","2.743786","2.300791","2.794747","2.981724","2.321018","2.473944","2.662967","2.362051"
"Q91X72","3.186937","3.229712","3.222996","3.065572","2.914675","3.036671","3.186937","2.927107","2.919116","2.819721"
"P26645","2.380645","2.567468","2.582671","2.451533","2.462027","2.305917","2.524240","2.487378","2.391440","2.341319"
"A2A513","2.996127","3.505129","3.253783","3.018138","3.157498","3.617942","3.305929","3.505129","3.573517","3.389770"
"Q3V2C6","2.505755","2.693335","2.894581","2.673192","2.364511","2.387798","2.882924","2.909582","2.339457","2.371338"
"P14152","2.817060","2.691262","2.546629","2.953500","3.005960","2.921782","2.927107","2.842922","2.981724","2.981724"
"P20108","3.099427","2.962667","2.992275","2.921782","3.022504","2.933274","2.809260","2.809260","3.060164","2.894581"
"P18760","3.093808","3.049864","3.044145","3.060164","3.011436","2.970410","3.157498","3.022504","2.863497","2.919116"
"Q64727","2.336785","2.282812","2.686737","2.693335","2.658106","2.358703","2.691262","2.819721","2.574448","2.698324"
"O08553","2.382994","2.422195","2.400810","2.336785","2.358703","2.368746","2.434679","2.424770","2.331570","2.385489"
"Q3TF14","2.740946","2.585000","2.532859","3.000877","2.831591","2.794747","2.740946","2.751537","2.870601","2.905756"
"A0A0R4J083","2.628748","2.556194","2.537965","2.682486","2.648044","2.641442","2.635802","2.609317","2.658106","2.628748"
"P35700","3.197219","3.000877","3.229712","3.305929","3.325743","3.244630","3.134514","3.249334","3.229712","3.191976"
"P99027","2.870601","2.801961","2.891046","2.614923","2.713246","2.698324","2.757966","2.710518","2.551592","2.528352"
"P62806","3.382194","3.429124","3.660248","3.415047","3.311120","3.305929","3.415047","3.401547","3.415047","3.487622"
