"GENE","UniProt","FC","log2(FC)","raw.pval","-log10(p)","probe"
Rad23b,"P54728",0.89566,-0.15897,0.50528,0.29647,cg_0363
Psma2,"P49722",1.0886,0.12242,0.50878,0.29347,cg_0364
Hnrnpa0,"Q9CX86",1.1045,0.14343,0.51026,0.29221,cg_0365
Prdx2,"Q61171",0.92272,-0.11604,0.51038,0.29211,cg_0366
Snrnp70,"A0A1B0GRR8",0.9173,-0.12453,0.51047,0.29203,cg_0367
Dcn,"Q3UKR1",0.93392,-0.098634,0.51408,0.28897,cg_0368
Rpl24,"Q3UW40",0.86638,-0.20692,0.51532,0.28792,cg_0369
Rpl37,"Q9D823",0.8819,-0.18132,0.51658,0.28686,cg_0370
Elob,"P62869",1.0924,0.12748,0.51747,0.28611,cg_0371
Cnpy2,"A0A1W2P729",0.9223,-0.11669,0.52005,0.28395,cg_0372
Fdxr,"Q61578",1.2607,0.33427,0.52277,0.28169,cg_0373
Slc25a5,"P51881",0.90661,-0.14145,0.52371,0.28091,cg_0374
Wdr1,"O88342",0.93849,-0.091593,0.52556,0.27938,cg_0375
Jup,"Q02257",0.66586,-0.5867,0.52591,0.27909,cg_0376
Hmgb1,"Q6P202",0.92032,-0.1198,0.52594,0.27907,cg_0377
Gsta4,"P24472",1.088,0.12163,0.5263,0.27877,cg_0378
Eloc,"P83940",0.68934,-0.53671,0.5276,0.2777,cg_0379
Fcgbp,"E9Q0B5",1.23,0.29864,0.53349,0.27288,cg_0380
Anxa3,"O35639",1.1452,0.19557,0.53374,0.27267,cg_0381
-,"Q61650",1.2433,0.31421,0.53383,0.2726,cg_0382
Col1a1,"P11087",3.0673,1.617,0.53568,0.2711,cg_0383
Tbca,"A0A1Y7VJ48",0.87343,-0.19523,0.54057,0.26715,cg_0384
Lta4h,"P24527",0.94238,-0.085618,0.5409,0.26688,cg_0385
Mgarp,"D3Z134",0.91868,-0.12237,0.54368,0.26466,cg_0386
Pgm1,"Q66JR7",0.93219,-0.10131,0.54496,0.26363,cg_0387
Psma5,"Q9Z2U1",0.83541,-0.25944,0.54551,0.26319,cg_0388
Dstn,"Q9R0P5",1.0762,0.10595,0.54613,0.2627,cg_0389
Ca2,"P00920",1.1653,0.22072,0.54766,0.26149,cg_0390
Krt78,"Q0VDM9",1.1654,0.22083,0.54874,0.26063,cg_0391
Park7,"Q99LX0",0.85569,-0.22483,0.5506,0.25917,cg_0392
Cp,"G3X8Q5",0.82822,-0.27191,0.55076,0.25904,cg_0393
Dhx9,"E9QNN1",1.1827,0.24208,0.55198,0.25807,cg_0394
Tsc22d1,"H3BLI9",0.70641,-0.50141,0.55349,0.25689,cg_0395
Nap1l4,"Q8C1W9",1.0846,0.11712,0.55649,0.25454,cg_0396
Rbm3,"Q8BG13",0.87913,-0.18585,0.56014,0.2517,cg_0397
Crip1,"P63254",1.1911,0.2523,0.56189,0.25035,cg_0398
Hadhb,"Q99JY0",0.88459,-0.17692,0.562,0.25026,cg_0399
Impa1,"Q9D066",1.1725,0.22953,0.5625,0.24988,cg_0400
Fabp4,"P04117",2.1511,1.1051,0.56473,0.24816,cg_0401
Dynll2,"Q9D0M5",0.8362,-0.25809,0.5666,0.24672,cg_0402
Map4,"P27546",0.88123,-0.18241,0.57061,0.24366,cg_0403
Fscn1,"Q61553",0.82565,-0.27639,0.57134,0.24311,cg_0404
Hnrnpf,"Q9Z2X1",1.0466,0.065748,0.57228,0.24239,cg_0405
Vdac3,"J3QMG3",1.1597,0.21377,0.57913,0.23723,cg_0406
Lmnb2,"A0A0R4J0Q5",1.0853,0.11805,0.57979,0.23673,cg_0407
Ugcg,"O88693",0.92032,-0.11979,0.58311,0.23425,cg_0408
Pcbp1,"P60335",1.0601,0.084194,0.58377,0.23376,cg_0409
Arhgdia,"Q99PT1",1.1068,0.14634,0.58668,0.2316,cg_0410
Padi6,"Q8K3V4",1.1651,0.22048,0.59053,0.22876,cg_0411
Pcna,"P17918",0.94265,-0.085206,0.59299,0.22695,cg_0412
Gsn,"Q3U9Q8",1.0769,0.10682,0.59489,0.22556,cg_0413
Hbb-y,"P02104",1.1132,0.1547,0.59816,0.22318,cg_0414
H1f5,"Q1WWK3",0.84845,-0.2371,0.60006,0.2218,cg_0415
Rps3,"Q5YLW3",1.0876,0.12118,0.60323,0.21952,cg_0416
Myh11,"Q69ZX3",1.124,0.16858,0.60466,0.21849,cg_0417
Rps15a,"D3Z712",0.85218,-0.23076,0.60497,0.21827,cg_0418
Slc25a3,"Q3THU8",1.0635,0.088816,0.60614,0.21743,cg_0419
Taok3,"Q3V3K3",1.0469,0.066179,0.60724,0.21664,cg_0420
Ywhab,"Q9CQV8",1.0522,0.073411,0.61028,0.21447,cg_0421
Hspa9,"P38647",1.1158,0.15812,0.61186,0.21335,cg_0422
Hist1h4m,"P62806",0.89522,-0.15968,0.61311,0.21246,cg_0423
Hnrnpc,"Q3U6P5",1.0313,0.044438,0.61498,0.21114,cg_0424
Hmgn2,"Q5XK38",0.89041,-0.16746,0.61516,0.21101,cg_0425
Eef1a1,"P10126",1.1391,0.18793,0.617,0.20971,cg_0426
Hnrnpa2b1,"O88569",0.90057,-0.15108,0.62438,0.20455,cg_0427
Serpinb6a,"F8WIV2",0.80833,-0.30698,0.62781,0.20218,cg_0428
Hbbt1,"A8DUK7",1.1857,0.24573,0.62866,0.20159,cg_0429
Psmb5,"O55234",0.92543,-0.1118,0.63038,0.2004,cg_0430
Nans,"Q99J77",0.91681,-0.1253,0.63351,0.19824,cg_0431
Ikzf2,"P81183",1.5592,0.64079,0.6353,0.19702,cg_0432
S100a11,"P50543",0.91993,-0.12041,0.63611,0.19647,cg_0433
Cbx1,"P83917",0.88538,-0.17563,0.64439,0.19085,cg_0434
Ak2,"Q9WTP6",1.0872,0.12067,0.64522,0.19029,cg_0435
Prkcsh,"Q3U518",0.83175,-0.26578,0.64541,0.19016,cg_0436
Ywhag,"A8IP69",0.94563,-0.080656,0.64542,0.19016,cg_0437
Krt28,"A6BLY7",1.3973,0.48267,0.64781,0.18855,cg_0438
Cald1,"E9QA15",0.91387,-0.12994,0.64804,0.1884,cg_0439
Cstb,"Q62426",0.71375,-0.4865,0.6496,0.18735,cg_0440
Rdx,"P26043",1.0458,0.064662,0.64961,0.18735,cg_0441
Hsd3b1,"P24815",1.2187,0.28533,0.65202,0.18574,cg_0442
Rrbp1,"A2AVJ7",1.0498,0.070167,0.65434,0.18419,cg_0443
Eif2s1,"Q6ZWX6",1.0662,0.092532,0.65445,0.18412,cg_0444
Anxa1,"Q3US43",1.1096,0.15003,0.65829,0.18159,cg_0445
Blvrb,"Q923D2",1.1312,0.17786,0.65998,0.18047,cg_0446
Hprt1,"P00493",0.78798,-0.34378,0.66245,0.17885,cg_0447
Rpl28,"Q5M9N5",1.0837,0.11596,0.66426,0.17766,cg_0448
Tmed10,"Q9D1D4",1.1326,0.17968,0.66713,0.17579,cg_0449
Cbx3,"Q9DCC5",0.95099,-0.072498,0.66834,0.175,cg_0450
H1-1,"P43275",0.95187,-0.071162,0.66864,0.17481,cg_0451
H2az2,"Q3THW5",1.0574,0.080562,0.67429,0.17116,cg_0452
Map1b,"P14873",1.0887,0.12256,0.67501,0.17069,cg_0453
Calr,"Q3UWP8",0.96256,-0.055058,0.67791,0.16883,cg_0454
Clta,"Q6PFA2",0.90932,-0.13715,0.6781,0.1687,cg_0455
Mydgf,"Q9CPT4",0.93918,-0.090532,0.68107,0.16681,cg_0456
Eftud2,"Q3U5Q3",1.8019,0.8495,0.68544,0.16403,cg_0457
Rcn1,"Q05186",0.94896,-0.075588,0.6863,0.16349,cg_0458
Snu13,"Q9D0T1",0.87531,-0.19214,0.69104,0.1605,cg_0459
Atp1a1,"Q8VDN2",1.0419,0.059224,0.69151,0.1602,cg_0460
Glud1,"P26443",1.0509,0.071641,0.69494,0.15805,cg_0461
Mug1,"P28665",0.78467,-0.34985,0.69559,0.15765,cg_0462
Pdia3,"P27773",1.0608,0.085182,0.69675,0.15692,cg_0463
Trim28,"Q5EBP9",1.0544,0.076432,0.69801,0.15614,cg_0464
Hnrnpu,"Q8C290",1.0741,0.10318,0.69826,0.15598,cg_0465
Bgn,"Q3UXK8",0.97062,-0.043019,0.69993,0.15494,cg_0466
Nampt,"Q3TLX1",1.0419,0.059152,0.70072,0.15445,cg_0467
Apoa4,"P06728",1.0789,0.10961,0.70077,0.15442,cg_0468
Glod4,"Q9CPV4",1.1569,0.21024,0.70196,0.15369,cg_0469
Prpf19,"Q99KP6",1.1131,0.15464,0.7025,0.15335,cg_0470
Krt42,"Q6IFX2",0.67922,-0.55806,0.70279,0.15317,cg_0471
S100a6,"P14069",1.0417,0.058979,0.70339,0.15281,cg_0472
Ide,"Q9JHR7",1.2147,0.28055,0.70356,0.1527,cg_0473
Cct7,"Q3TET0",0.70738,-0.49945,0.70439,0.15219,cg_0474
Cotl1,"Q544F6",1.2125,0.278,0.71544,0.14543,cg_0475
Krt14,"Q61781",0.80709,-0.30919,0.71587,0.14517,cg_0476
Prdx5,"P99029",0.95984,-0.059132,0.71658,0.14474,cg_0477
Cyb5a,"G5E850",0.9811,-0.027528,0.71943,0.14301,cg_0478
Cct8,"Q6A0F1",1.0937,0.12928,0.72363,0.14048,cg_0479
Dpysl2,"O08553",1.0217,0.030993,0.72601,0.13906,cg_0480
Ces1c,"P23953",1.0202,0.028859,0.72624,0.13892,cg_0481
Rbbp4,"Q60972",0.94429,-0.082704,0.72648,0.13877,cg_0482
Strap,"B2RUC7",0.92526,-0.11207,0.72722,0.13834,cg_0483
Capzb,"Q3TRH8",1.0217,0.030985,0.73024,0.13653,cg_0484
Rps16,"Q641N3",0.94023,-0.088911,0.73092,0.13613,cg_0485
Rpl34,"Q9D1R9",1.1193,0.16257,0.73206,0.13545,cg_0486
Eif4a3,"Q91VC3",0.96338,-0.053821,0.73339,0.13467,cg_0487
Npepps,"F6QYF8",1.1235,0.16799,0.73656,0.13279,cg_0488
Mat2a,"Q99J57",1.1331,0.18026,0.74113,0.13011,cg_0489
Ddb1,"Q3U1J4",0.77549,-0.36681,0.74487,0.12792,cg_0490
Arglu1,"A0A140LIS5",0.90132,-0.14988,0.74626,0.12711,cg_0491
Psmc2,"Q3UIH5",1.3843,0.46911,0.74711,0.12662,cg_0492
Slc25a4,"Q8BVI9",0.90507,-0.14389,0.74922,0.12539,cg_0493
Pabpc1,"P29341",1.0279,0.039669,0.74942,0.12527,cg_0494
H2ax,"P27661",0.95041,-0.073373,0.75452,0.12233,cg_0495
Pdcd5,"Q564F6",0.85447,-0.22691,0.75605,0.12145,cg_0496
Rpl32,"P62911",0.95622,-0.064581,0.75635,0.12128,cg_0497
Oat,"Q3UKT3",1.0161,0.023029,0.75652,0.12118,cg_0498
Anp32b,"Q9EST5",0.87934,-0.1855,0.75796,0.12035,cg_0499
Nucb1,"A0A1C7CYU3",0.93208,-0.10148,0.76068,0.1188,cg_0500
Eif4a1,"P60843",1.1192,0.16244,0.76158,0.11829,cg_0501
Ahnak2,"A0A7N9VR94",1.0443,0.062511,0.76179,0.11817,cg_0502
Atp5o,"Q3THG0",1.0282,0.040068,0.76328,0.11732,cg_0503
Cmpk1,"Q9DBP5",1.0343,0.048691,0.76493,0.11638,cg_0504
Ganab,"Q8BHN3",1.0512,0.072088,0.76679,0.11532,cg_0505
Rpl10,"I7HLV2",1.0334,0.047382,0.76769,0.11482,cg_0506
Des,"Q3V2C6",0.98804,-0.017355,0.76904,0.11405,cg_0507
Rpl36a-ps1,"A0A2I3BPG9",1.0725,0.10101,0.77022,0.11338,cg_0508
Lmnb1,"P14733",0.98484,-0.022045,0.7727,0.11199,cg_0509
Ethe1,"Q9DCM0",0.93117,-0.10289,0.77371,0.11142,cg_0510
Serpinh1,"Q8BVU9",1.0333,0.047325,0.77964,0.10811,cg_0511
Cav1,"H3BKG0",1.0537,0.075401,0.78026,0.10776,cg_0512
Rps28,"G3UYV7",0.97576,-0.035402,0.78081,0.10745,cg_0513
Nono,"Q3TMM5",0.8993,-0.15313,0.78208,0.10675,cg_0514
Hsp90aa1,"P07901",1.0681,0.09507,0.78266,0.10643,cg_0515
Ptbp1,"Q3TQW3",0.94129,-0.087282,0.78287,0.10631,cg_0516
Rps3a,"P97351",1.0662,0.092541,0.78962,0.10258,cg_0517
Csrp1,"P97315",1.1165,0.15897,0.78965,0.10257,cg_0518
Glrx3,"Q9CQM9",0.94554,-0.080797,0.79089,0.10188,cg_0519
Tln1,"Q80TM2",0.85795,-0.22104,0.79168,0.10145,cg_0520
Ddx39b,"Q9Z1N5",1.0212,0.030245,0.79226,0.10113,cg_0521
Fga,"E9PV24",1.0979,0.1347,0.79247,0.10102,cg_0522
Pgls,"Q9CQ60",0.95618,-0.064646,0.79765,0.09819,cg_0523
Rps8,"P62242",1.0423,0.059716,0.79998,0.096921,cg_0524
Acsbg1,"Q99PU5",0.93322,-0.099717,0.80004,0.096888,cg_0525
Lsm8,"Q6ZWM4",1.1668,0.22254,0.80141,0.096143,cg_0526
Hspa5,"P20029",1.0462,0.065149,0.80169,0.095992,cg_0527
Rps2,"Q3TXS9",0.97731,-0.033118,0.80827,0.092445,cg_0528
Sf3b3,"B2RSV4",0.9514,-0.071874,0.80941,0.091833,cg_0529
Rpl23,"P62830",0.92798,-0.10784,0.81452,0.089101,cg_0530
Rps6,"Q5BLK1",0.97349,-0.038765,0.81645,0.088073,cg_0531
Rtraf,"Q4VA29",0.94324,-0.084306,0.81977,0.086306,cg_0532
Tmpo,"Q3U955",0.9998,-0.00028312,0.82669,0.082655,cg_0533
Hnrnpa3,"Q0VG47",0.95214,-0.070762,0.82935,0.081264,cg_0534
Hmgb2,"Q9CT19",0.94923,-0.075168,0.82983,0.081011,cg_0535
Mylk,"Q6PDN3",0.98579,-0.020647,0.83083,0.080488,cg_0536
Hdgfl3,"Q9JMG7",0.97279,-0.039796,0.83143,0.080172,cg_0537
Arpc4,"P59999",0.94444,-0.082471,0.83156,0.080108,cg_0538
Ahnak,"E9Q616",0.96086,-0.0576,0.83353,0.079079,cg_0539
Safb,"D3YXK2",0.9119,-0.13306,0.84015,0.075644,cg_0540
H1f0,"Q3U4Y0",0.9553,-0.065972,0.84313,0.074107,cg_0541
Tpd52l2,"F6VQ81",1.126,0.17121,0.84406,0.073628,cg_0542
Sptan1,"P16546",1.0283,0.040311,0.84608,0.072591,cg_0543
Myl12a,"Q6ZWQ9",1.0025,0.0036738,0.84614,0.07256,cg_0544
Aldh9a1,"Q3U367",1.0119,0.017016,0.84628,0.072488,cg_0545
Rpl18a,"A0A1D5RME4",1.0398,0.056291,0.8472,0.072012,cg_0546
Rpl17,"Q80V08",1.0672,0.093891,0.85043,0.070363,cg_0547
Sdha,"Q8K2B3",1.0663,0.092648,0.85065,0.07025,cg_0548
Lonp1,"Q8CGK3",1.0403,0.056958,0.85078,0.070183,cg_0549
Gatd3,"Q9D172",0.99563,-0.0063247,0.85395,0.068568,cg_0550
Rbbp7,"Q3UJI2",0.88272,-0.17997,0.8567,0.067169,cg_0551
Rplp0,"Q5FWB6",1.0484,0.068127,0.86068,0.065159,cg_0552
Rpl11,"Q8VC94",1.1336,0.18097,0.86084,0.065076,cg_0553
Eif5a,"A0A0A0MQM0",0.97411,-0.037842,0.86464,0.063165,cg_0554
Hba-a1,"Q91VB8",0.94312,-0.084483,0.86518,0.062896,cg_0555
Ppp2r1a,"Q7TMX2",1.08,0.111,0.86618,0.062394,cg_0556
Acadm,"P45952",1.0183,0.026196,0.86728,0.061841,cg_0557
Etfa,"Q99LC5",0.9898,-0.014789,0.86761,0.061674,cg_0558
Cavin1,"O54724",1.0975,0.13417,0.8677,0.06163,cg_0559
Rnh1,"A0A1B0GSG5",0.97537,-0.035977,0.86851,0.061227,cg_0560
Stip1,"Q60864",1.0252,0.03592,0.87341,0.058783,cg_0561
Cttn,"Q8BNA5",1.014,0.020011,0.87494,0.058024,cg_0562
Tagln,"P37804",1.1369,0.18511,0.87531,0.05784,cg_0563
Krt17,"Q9QWL7",1.1935,0.25524,0.8756,0.057694,cg_0564
Ckb,"Q04447",1.1116,0.1526,0.88304,0.054022,cg_0565
Rpl8,"Q3UJS0",0.97163,-0.041517,0.88525,0.052934,cg_0566
Rpl7,"P14148",1.0448,0.063277,0.89218,0.049546,cg_0567
Rpl12,"Q3TIQ2",0.98193,-0.026304,0.89268,0.049305,cg_0568
Rpl31,"P62900",0.98567,-0.020828,0.89307,0.049114,cg_0569
Tgm2,"P21981",1.3853,0.47017,0.90133,0.045114,cg_0570
Impdh2,"Q3U9N8",0.91882,-0.12215,0.90169,0.044941,cg_0571
Idh2,"P54071",1.0548,0.076981,0.90585,0.042945,cg_0572
Hmgn5,"Q9JL35",0.9517,-0.07142,0.90804,0.041894,cg_0573
H1-4,"P43274",0.97431,-0.037542,0.91464,0.038752,cg_0574
Cbr1,"B2RXY7",0.98231,-0.025745,0.92016,0.036137,cg_0575
Mesd,"D3YVR4",0.82168,-0.28334,0.92134,0.035578,cg_0576
Vapa,"Q9WV55",0.94474,-0.082009,0.92188,0.035325,cg_0577
Idh1,"O88844",1.1112,0.15212,0.92276,0.03491,cg_0578
Ppp1ca,"Q3U8W0",0.92623,-0.11056,0.92381,0.034418,cg_0579
Ctsb,"P10605",1.0079,0.011349,0.92467,0.034011,cg_0580
Sfpq,"Q8VIJ6",0.97546,-0.035843,0.92871,0.032118,cg_0581
Bcat2,"A0A1B0GX27",0.96033,-0.058403,0.92904,0.031965,cg_0582
Cnn1,"B2RSH3",1.0426,0.060202,0.92912,0.031928,cg_0583
Rps13,"Q5BLJ7",1.1806,0.23948,0.93143,0.030851,cg_0584
Gsto1,"O09131",1.0364,0.051641,0.93232,0.030433,cg_0585
Ncl,"Q8CE30",0.94422,-0.082799,0.93403,0.029638,cg_0586
Lap3,"Q9CPY7",1.0029,0.0042404,0.93629,0.02859,cg_0587
Rps4x,"Q545F8",1.0875,0.121,0.93787,0.027856,cg_0588
Ddx5,"Q5U222",1.1229,0.16722,0.93862,0.02751,cg_0589
Oxct1,"Q3U9P7",0.93207,-0.10149,0.93923,0.027228,cg_0590
Dlst,"Q9D2G2",1.0539,0.075687,0.93961,0.027054,cg_0591
Snrpb2,"Q9CQI7",0.98597,-0.020388,0.94223,0.025842,cg_0592
Mthfd1,"Q3UZH3",1.3871,0.47207,0.9423,0.02581,cg_0593
Uqcrc2,"Q9DB77",1.0011,0.0015263,0.94411,0.024977,cg_0594
Snrpd2,"P62317",0.96815,-0.046694,0.94422,0.024925,cg_0595
Caprin1,"Q3UFZ6",0.8241,-0.27911,0.94564,0.024273,cg_0596
Ptgr1,"Q91YR9",0.96662,-0.048985,0.95031,0.022134,cg_0597
Ca3,"P16015",1.1,0.13752,0.95036,0.02211,cg_0598
Cct6a,"Q52KG9",1.1604,0.21462,0.9538,0.020541,cg_0599
HBB1,"B1Q450",0.99387,-0.0088774,0.95384,0.020524,cg_0600
Cct2,"Q542X7",1.0225,0.03217,0.95471,0.02013,cg_0601
Bcat1,"Q8CBC8",1.0149,0.021341,0.95825,0.018521,cg_0602
Gstt1,"Q64471",0.96434,-0.05239,0.95832,0.018488,cg_0603
Krt85,"Q9Z2T6",1.0565,0.079327,0.96005,0.017706,cg_0604
Cyp11a1,"Q9QZ82",1.0288,0.041024,0.96166,0.016977,cg_0605
Pgk1,"P09411",1.0412,0.05827,0.96478,0.015571,cg_0606
Psme1,"P97371",1.0015,0.0022002,0.96649,0.014801,cg_0607
Pafah1b1,"Q3UGR6",1.0152,0.021724,0.96692,0.014608,cg_0608
Acaa2,"Q3UKH3",0.90849,-0.13846,0.96714,0.014512,cg_0609
Lcp1,"Q3U9M7",1.0155,0.02222,0.96841,0.013942,cg_0610
Tubb5,"P99024",1.0433,0.06114,0.96896,0.013696,cg_0611
Pdxk,"Q8K183",1.2356,0.30517,0.97568,0.010693,cg_0612
Prdx1,"P35700",0.96842,-0.04629,0.97664,0.010266,cg_0613
Rpl14,"Q9CR57",0.97042,-0.043313,0.9822,0.0078004,cg_0614
Rpl6,"P47911",1.0027,0.0039416,0.98612,0.0060683,cg_0615
Rpl36,"Q6ZWZ4",1.1654,0.22088,0.98907,0.0047748,cg_0616
Eif1,"P48024",1.0132,0.018862,0.99188,0.0035406,cg_0617
Rpl3,"Q3UB67",1.0017,0.0025194,0.99745,0.0011096,cg_0618
