"GENE","UniProt","FC","log2(FC)","raw.pval","-log10(p)","probe"
Pgd,"Q9DCD0",1.4844,0.56986,0.13406,0.87269,cg_0105
Ptges3,"D3Z7C6",0.79534,-0.33036,0.13473,0.87053,cg_0106
Rpl23a,"Q4V9X9",0.89217,-0.16461,0.1354,0.86837,cg_0107
Lum,"P51885",0.71066,-0.49277,0.13561,0.86771,cg_0108
Ywhah,"P68510",0.78693,-0.34569,0.13659,0.86459,cg_0109
Myl6,"Q642K0",0.71491,-0.48417,0.13814,0.85969,cg_0110
Krt79,"Q8VED5",1.9236,0.94384,0.13857,0.85833,cg_0111
EG433182,"Q5FW97",1.4436,0.52963,0.14004,0.85376,cg_0112
Rps21,"Q9CQR2",0.82423,-0.27887,0.14015,0.85341,cg_0113
Acly,"Q3TED3",1.7103,0.77427,0.14098,0.85085,cg_0114
Atp5mc1,"Q9CR84",0.61505,-0.70123,0.14254,0.84606,cg_0115
Serpina6,"Q3UKW1",0.74986,-0.41531,0.14308,0.84443,cg_0116
Cbx5,"Q61686",0.77172,-0.37384,0.14497,0.83873,cg_0117
-,"Q61667",1.7841,0.83517,0.14599,0.83568,cg_0118
Gstm1,"P10649",1.329,0.4103,0.14912,0.82646,cg_0119
BC085271,"Q5U445",0.63014,-0.66625,0.14932,0.82588,cg_0120
Acot2,"Q6P2K2",1.3369,0.41886,0.15049,0.8225,cg_0121
HC,"A0A0F7QZE4",0.6272,-0.67301,0.15224,0.81748,cg_0122
Psmb1,"Q6RI64",0.8038,-0.31509,0.15244,0.81689,cg_0123
Ywhae,"P62259",0.81014,-0.30376,0.15336,0.81428,cg_0124
Gdi1,"P50396",1.5883,0.66752,0.15515,0.80924,cg_0125
Arpc1b,"Q3U094",1.3487,0.43155,0.15516,0.80922,cg_0126
Rps11,"Q3UC02",1.2014,0.26472,0.15758,0.80251,cg_0127
Lgals1,"P16045",0.78102,-0.35657,0.15769,0.80218,cg_0128
Skp1,"Q3TL58",0.70434,-0.50565,0.15771,0.80215,cg_0129
Macroh2a1,"Q9QZQ8",0.81799,-0.28985,0.16108,0.79295,cg_0130
Ssb,"P32067",0.90646,-0.14168,0.16497,0.7826,cg_0131
Sumo3,"G3UWX9",0.7574,-0.40088,0.16596,0.78,cg_0132
Acadvl,"P50544",1.3202,0.40073,0.16601,0.77986,cg_0133
Tuba1b,"P05213",1.253,0.32537,0.16816,0.77428,cg_0134
Psma4,"Q9R1P0",0.79165,-0.33706,0.16891,0.77233,cg_0135
Hint1,"P70349",0.87141,-0.19858,0.17098,0.76706,cg_0136
Mdh2,"P08249",1.2643,0.33839,0.17115,0.76661,cg_0137
Cox5a,"P12787",0.58369,-0.77672,0.17273,0.76262,cg_0138
Dbi,"Q548W7",0.71214,-0.48976,0.17356,0.76056,cg_0139
Tmsb4x,"Q6ZWX2",0.65667,-0.60677,0.17514,0.75662,cg_0140
Ldha,"A0A1B0GSX0",0.86921,-0.20223,0.17621,0.75397,cg_0141
Hspa4,"Q571M2",1.2955,0.37352,0.17907,0.74698,cg_0142
Rps27l,"Q6ZWY3",0.36892,-1.4386,0.17965,0.74558,cg_0143
Calu,"Q3TUF3",0.83421,-0.26151,0.17984,0.74512,cg_0144
Ephx2,"P34914",1.6045,0.68215,0.18057,0.74334,cg_0145
Fabp3,"P11404",0.78923,-0.34149,0.18132,0.74156,cg_0146
G6pdx,"Q790Y8",1.2763,0.35191,0.18138,0.74142,cg_0147
Ddx17,"Q501J6",1.1911,0.25227,0.18358,0.73616,cg_0148
Mdh1,"P14152",1.2588,0.33205,0.18383,0.73557,cg_0149
Myl9,"Q9CQ19",0.80042,-0.32116,0.18468,0.73358,cg_0150
Rpl4,"Q9D8E6",1.0901,0.12449,0.18503,0.73275,cg_0151
Ppib,"P24369",1.2019,0.26536,0.18637,0.72961,cg_0152
Akr1a1,"Q80XJ7",1.4147,0.50051,0.19033,0.72048,cg_0153
Rps12,"A0A1W2P7A1",0.80755,-0.30837,0.19125,0.7184,cg_0154
Krt5,"Q32P04",1.3499,0.43282,0.1943,0.71153,cg_0155
Apoa1,"Q00623",0.89379,-0.16199,0.19538,0.70912,cg_0156
